vOTUs	sample
KSW-cf_coassembly_k141_2639265_full	KSW-CF
KSW-cf_coassembly_k141_3582087_full	KSW-CF
KSW-cf_coassembly_k141_1833143_full	KSW-CF
KSW-cf_coassembly_k141_3315725_full	KSW-CF
KSW-cf_coassembly_k141_2908342_full	KSW-CF
KSW-cf_coassembly_k141_1298053_full	KSW-CF
KSW-cf_coassembly_k141_894514_full	KSW-CF
KSW-cf_coassembly_k141_3846858_full	KSW-CF
KSW-cf_coassembly_k141_3315841_full	KSW-CF
KSW-cf_coassembly_k141_2640415_full	KSW-CF
KSW-cf_coassembly_k141_3987446_full	KSW-CF
KSW-cf_coassembly_k141_3316533_full	KSW-CF
KSW-cf_coassembly_k141_1967829_full	KSW-CF
KSW-cf_coassembly_k141_1027891_full	KSW-CF
KSW-cf_coassembly_k141_3178356_full	KSW-CF
KSW-cf_coassembly_k141_2377798_full	KSW-CF
KSW-cf_coassembly_k141_1563780_full	KSW-CF
KSW-cf_coassembly_k141_1162817_full	KSW-CF
KSW-cf_coassembly_k141_3317411_full	KSW-CF
KSW-cf_coassembly_k141_1162888_full	KSW-CF
KSW-cf_coassembly_k141_3317439_full	KSW-CF
KSW-cf_coassembly_k141_89735_full	KSW-CF
KSW-cf_coassembly_k141_219126_full	KSW-CF
KSW-cf_coassembly_k141_1564171_full	KSW-CF
KSW-cf_coassembly_k141_2910316_full	KSW-CF
KSW-cf_coassembly_k141_1835673_full	KSW-CF
KSW-cf_coassembly_k141_757814_full	KSW-CF
KSW-cf_coassembly_k141_3717457_full	KSW-CF
KSW-cf_coassembly_k141_896954_full	KSW-CF
KSW-cf_coassembly_k141_1564730_full	KSW-CF
KSW-cf_coassembly_k141_3989797_full	KSW-CF
KSW-cf_coassembly_k141_758312_full	KSW-CF
KSW-cf_coassembly_k141_494169_full	KSW-CF
KSW-cf_coassembly_k141_3990048_full	KSW-CF
KSW-cf_coassembly_k141_1164486_full	KSW-CF
KSW-cf_coassembly_k141_1164499_full	KSW-CF
KSW-cf_coassembly_k141_3850076_full	KSW-CF
KSW-cf_coassembly_k141_2107030_full	KSW-CF
KSW-cf_coassembly_k141_1565397_full	KSW-CF
KSW-cf_coassembly_k141_1030751_full	KSW-CF
KSW-cf_coassembly_k141_2643937_full	KSW-CF
KSW-cf_coassembly_k141_3718684_full	KSW-CF
KSW-cf_coassembly_k141_2380341_full	KSW-CF
KSW-cf_coassembly_k141_633173_full	KSW-CF
KSW-cf_coassembly_k141_1302114_full	KSW-CF
KSW-cf_coassembly_k141_898290_full	KSW-CF
KSW-cf_coassembly_k141_3319715_full	KSW-CF
KSW-cf_coassembly_k141_495376_full	KSW-CF
KSW-cf_coassembly_k141_495396_full	KSW-CF
KSW-cf_coassembly_k141_760061_full	KSW-CF
KSW-cf_coassembly_k141_1971566_full	KSW-CF
KSW-cf_coassembly_k141_3181047_full	KSW-CF
KSW-cf_coassembly_k141_760485_full	KSW-CF
KSW-cf_coassembly_k141_1303340_full	KSW-CF
KSW-cf_coassembly_k141_1166435_full	KSW-CF
KSW-cf_coassembly_k141_361396_full	KSW-CF
KSW-cf_coassembly_k141_2381713_full	KSW-CF
KSW-cf_coassembly_k141_2912984_full	KSW-CF
KSW-cf_coassembly_k141_2645783_full	KSW-CF
KSW-cf_coassembly_k141_2382012_full	KSW-CF
KSW-cf_coassembly_k141_1838842_full	KSW-CF
KSW-cf_coassembly_k141_2109287_full	KSW-CF
KSW-cf_coassembly_k141_1972679_full	KSW-CF
KSW-cf_coassembly_k141_2382471_full	KSW-CF
KSW-cf_coassembly_k141_900451_full	KSW-CF
KSW-cf_coassembly_k141_3853209_full	KSW-CF
KSW-cf_coassembly_k141_1973767_full	KSW-CF
KSW-cf_coassembly_k141_2383370_full	KSW-CF
KSW-cf_coassembly_k141_636470_full	KSW-CF
KSW-cf_coassembly_k141_1569148_full	KSW-CF
KSW-cf_coassembly_k141_2647743_full	KSW-CF
KSW-cf_coassembly_k141_3323019_full	KSW-CF
KSW-cf_coassembly_k141_2786329_full	KSW-CF
KSW-cf_coassembly_k141_3589308_full	KSW-CF
KSW-cf_coassembly_k141_1703967_full	KSW-CF
KSW-cf_coassembly_k141_3323645_full	KSW-CF
KSW-cf_coassembly_k141_2384797_full	KSW-CF
KSW-cf_coassembly_k141_224849_full	KSW-CF
KSW-cf_coassembly_k141_364607_full	KSW-CF
KSW-cf_coassembly_k141_2385024_full	KSW-CF
KSW-cf_coassembly_k141_2649000_full	KSW-CF
KSW-cf_coassembly_k141_2916287_full	KSW-CF
KSW-cf_coassembly_k141_2112218_full	KSW-CF
KSW-cf_coassembly_k141_1035578_full	KSW-CF
KSW-cf_coassembly_k141_1704778_full	KSW-CF
KSW-cf_coassembly_k141_3723210_full	KSW-CF
KSW-cf_coassembly_k141_1440683_full	KSW-CF
KSW-cf_coassembly_k141_3052270_full	KSW-CF
KSW-cf_coassembly_k141_225771_full	KSW-CF
KSW-cf_coassembly_k141_903324_full	KSW-CF
KSW-cf_coassembly_k141_2385996_full	KSW-CF
KSW-cf_coassembly_k141_1036738_full	KSW-CF
KSW-cf_coassembly_k141_904028_full	KSW-CF
KSW-cf_coassembly_k141_3724909_full	KSW-CF
KSW-cf_coassembly_k141_3457988_full	KSW-CF
KSW-cf_coassembly_k141_366857_full	KSW-CF
KSW-cf_coassembly_k141_2790153_full	KSW-CF
KSW-cf_coassembly_k141_1172140_full	KSW-CF
KSW-cf_coassembly_k141_1309501_full	KSW-CF
KSW-cf_coassembly_k141_2387990_full	KSW-CF
KSW-cf_coassembly_k141_228439_full	KSW-CF
KSW-cf_coassembly_k141_1443781_full	KSW-CF
KSW-cf_coassembly_k141_767052_full	KSW-CF
KSW-cf_coassembly_k141_3859477_full	KSW-CF
KSW-cf_coassembly_k141_2116373_full	KSW-CF
KSW-cf_coassembly_k141_1573867_full	KSW-CF
KSW-cf_coassembly_k141_3594043_full	KSW-CF
KSW-cf_coassembly_k141_229367_full	KSW-CF
KSW-cf_coassembly_k141_3460288_full	KSW-CF
KSW-cf_coassembly_k141_1709161_full	KSW-CF
KSW-cf_coassembly_k141_643078_full	KSW-CF
KSW-cf_coassembly_k141_3860287_full	KSW-CF
KSW-cf_coassembly_k141_2389553_full	KSW-CF
KSW-cf_coassembly_k141_3860290_full	KSW-CF
KSW-cf_coassembly_k141_2517118_full	KSW-CF
KSW-cf_coassembly_k141_2653562_full	KSW-CF
KSW-cf_coassembly_k141_3728047_full	KSW-CF
KSW-cf_coassembly_k141_230233_full	KSW-CF
KSW-cf_coassembly_k141_2517907_full	KSW-CF
KSW-cf_coassembly_k141_1847334_full	KSW-CF
KSW-cf_coassembly_k141_907192_full	KSW-CF
KSW-cf_coassembly_k141_2654079_full	KSW-CF
KSW-cf_coassembly_k141_3329441_full	KSW-CF
KSW-cf_coassembly_k141_2921804_full	KSW-CF
KSW-cf_coassembly_k141_3461657_full	KSW-CF
KSW-cf_coassembly_k141_2518673_full	KSW-CF
KSW-cf_coassembly_k141_3729143_full	KSW-CF
KSW-cf_coassembly_k141_2118141_full	KSW-CF
KSW-cf_coassembly_k141_1041651_full	KSW-CF
KSW-cf_coassembly_k141_1711166_full	KSW-CF
KSW-cf_coassembly_k141_3462402_full	KSW-CF
KSW-cf_coassembly_k141_102637_full	KSW-CF
KSW-cf_coassembly_k141_3596736_full	KSW-CF
KSW-cf_coassembly_k141_1313784_full	KSW-CF
KSW-cf_coassembly_k141_2519499_full	KSW-CF
KSW-cf_coassembly_k141_2251799_full	KSW-CF
KSW-cf_coassembly_k141_2656263_full	KSW-CF
KSW-cf_coassembly_k141_103324_full	KSW-CF
KSW-cf_coassembly_k141_3191919_full	KSW-CF
KSW-cf_coassembly_k141_3463675_full	KSW-CF
KSW-cf_coassembly_k141_3192396_full	KSW-CF
KSW-cf_coassembly_k141_2119854_full	KSW-CF
KSW-cf_coassembly_k141_2393523_full	KSW-CF
KSW-cf_coassembly_k141_1315208_full	KSW-CF
KSW-cf_coassembly_k141_3863988_full	KSW-CF
KSW-cf_coassembly_k141_3192854_full	KSW-CF
KSW-cf_coassembly_k141_3332637_full	KSW-CF
KSW-cf_coassembly_k141_1449394_full	KSW-CF
KSW-cf_coassembly_k141_3333037_full	KSW-CF
KSW-cf_coassembly_k141_2394633_full	KSW-CF
KSW-cf_coassembly_k141_3194119_full	KSW-CF
KSW-cf_coassembly_k141_1450350_full	KSW-CF
KSW-cf_coassembly_k141_2395814_full	KSW-CF
KSW-cf_coassembly_k141_1317723_full	KSW-CF
KSW-cf_coassembly_k141_1180611_full	KSW-CF
KSW-cf_coassembly_k141_1045928_full	KSW-CF
KSW-cf_coassembly_k141_773573_full	KSW-CF
KSW-cf_coassembly_k141_1451040_full	KSW-CF
KSW-cf_coassembly_k141_1853452_full	KSW-CF
KSW-cf_coassembly_k141_650573_full	KSW-CF
KSW-cf_coassembly_k141_2659867_full	KSW-CF
KSW-cf_coassembly_k141_3467001_full	KSW-CF
KSW-cf_coassembly_k141_1451685_full	KSW-CF
KSW-cf_coassembly_k141_3601724_full	KSW-CF
KSW-cf_coassembly_k141_510883_full	KSW-CF
KSW-cf_coassembly_k141_2660326_full	KSW-CF
KSW-cf_coassembly_k141_651122_full	KSW-CF
KSW-cf_coassembly_k141_1452018_full	KSW-CF
KSW-cf_coassembly_k141_2800572_full	KSW-CF
KSW-cf_coassembly_k141_2124051_full	KSW-CF
KSW-cf_coassembly_k141_1855021_full	KSW-CF
KSW-cf_coassembly_k141_2661385_full	KSW-CF
KSW-cf_coassembly_k141_914558_full	KSW-CF
KSW-cf_coassembly_k141_1717992_full	KSW-CF
KSW-cf_coassembly_k141_2398902_full	KSW-CF
KSW-cf_coassembly_k141_3603903_full	KSW-CF
KSW-cf_coassembly_k141_3337830_full	KSW-CF
KSW-cf_coassembly_k141_3198725_full	KSW-CF
KSW-cf_coassembly_k141_1990550_full	KSW-CF
KSW-cf_coassembly_k141_238926_full	KSW-CF
KSW-cf_coassembly_k141_3604832_full	KSW-CF
KSW-cf_coassembly_k141_3470816_full	KSW-CF
KSW-cf_coassembly_k141_654720_full	KSW-CF
KSW-cf_coassembly_k141_1991750_full	KSW-CF
KSW-cf_coassembly_k141_2528207_full	KSW-CF
KSW-cf_coassembly_k141_514809_full	KSW-CF
KSW-cf_coassembly_k141_2804735_full	KSW-CF
KSW-cf_coassembly_k141_515434_full	KSW-CF
KSW-cf_coassembly_k141_3340492_full	KSW-CF
KSW-cf_coassembly_k141_3872513_full	KSW-CF
KSW-cf_coassembly_k141_919392_full	KSW-CF
KSW-cf_coassembly_k141_2260779_full	KSW-CF
KSW-cf_coassembly_k141_2530043_full	KSW-CF
KSW-cf_coassembly_k141_1722439_full	KSW-CF
KSW-cf_coassembly_k141_2933987_full	KSW-CF
KSW-cf_coassembly_k141_3740526_full	KSW-CF
KSW-cf_coassembly_k141_1994618_full	KSW-CF
KSW-cf_coassembly_k141_1861163_full	KSW-CF
KSW-cf_coassembly_k141_2807926_full	KSW-CF
KSW-cf_coassembly_k141_1458438_full	KSW-CF
KSW-cf_coassembly_k141_1190018_full	KSW-CF
KSW-cf_coassembly_k141_2935755_full	KSW-CF
KSW-cf_coassembly_k141_1996238_full	KSW-CF
KSW-cf_coassembly_k141_2131901_full	KSW-CF
KSW-cf_coassembly_k141_1055300_full	KSW-CF
KSW-cf_coassembly_k141_3071102_full	KSW-CF
KSW-cf_coassembly_k141_660575_full	KSW-CF
KSW-cf_coassembly_k141_1459651_full	KSW-CF
KSW-cf_coassembly_k141_1862654_full	KSW-CF
KSW-cf_coassembly_k141_2936688_full	KSW-CF
KSW-cf_coassembly_k141_2810111_full	KSW-CF
KSW-cf_coassembly_k141_1328475_full	KSW-CF
KSW-cf_coassembly_k141_1997342_full	KSW-CF
KSW-cf_coassembly_k141_4018406_full	KSW-CF
KSW-cf_coassembly_k141_3612087_full	KSW-CF
KSW-cf_coassembly_k141_387934_full	KSW-CF
KSW-cf_coassembly_k141_3478004_full	KSW-CF
KSW-cf_coassembly_k141_117898_full	KSW-CF
KSW-cf_coassembly_k141_388597_full	KSW-CF
KSW-cf_coassembly_k141_3206899_full	KSW-CF
KSW-cf_coassembly_k141_1727353_full	KSW-CF
KSW-cf_coassembly_k141_2812537_full	KSW-CF
KSW-cf_coassembly_k141_2266530_full	KSW-CF
KSW-cf_coassembly_k141_390303_full	KSW-CF
KSW-cf_coassembly_k141_786170_full	KSW-CF
KSW-cf_coassembly_k141_786203_full	KSW-CF
KSW-cf_coassembly_k141_2136308_full	KSW-CF
KSW-cf_coassembly_k141_390737_full	KSW-CF
KSW-cf_coassembly_k141_3746289_full	KSW-CF
KSW-cf_coassembly_k141_522354_full	KSW-CF
KSW-cf_coassembly_k141_1332022_full	KSW-CF
KSW-cf_coassembly_k141_3746640_full	KSW-CF
KSW-cf_coassembly_k141_1729297_full	KSW-CF
KSW-cf_coassembly_k141_3880322_full	KSW-CF
KSW-cf_coassembly_k141_1332931_full	KSW-CF
KSW-cf_coassembly_k141_1729653_full	KSW-CF
KSW-cf_coassembly_k141_1060457_full	KSW-CF
KSW-cf_coassembly_k141_523244_full	KSW-CF
KSW-cf_coassembly_k141_3349629_full	KSW-CF
KSW-cf_coassembly_k141_1595054_full	KSW-CF
KSW-cf_coassembly_k141_1061089_full	KSW-CF
KSW-cf_coassembly_k141_1868415_full	KSW-CF
KSW-cf_coassembly_k141_1061439_full	KSW-CF
KSW-cf_coassembly_k141_788516_full	KSW-CF
KSW-cf_coassembly_k141_121905_full	KSW-CF
KSW-cf_coassembly_k141_3482710_full	KSW-CF
KSW-cf_coassembly_k141_2003443_full	KSW-CF
KSW-cf_coassembly_k141_3882127_full	KSW-CF
KSW-cf_coassembly_k141_789580_full	KSW-CF
KSW-cf_coassembly_k141_252006_full	KSW-CF
KSW-cf_coassembly_k141_3617813_full	KSW-CF
KSW-cf_coassembly_k141_669170_full	KSW-CF
KSW-cf_coassembly_k141_4026354_full	KSW-CF
KSW-cf_coassembly_k141_2944205_full	KSW-CF
KSW-cf_coassembly_k141_1467586_full	KSW-CF
KSW-cf_coassembly_k141_2140935_full	KSW-CF
KSW-cf_coassembly_k141_2414269_full	KSW-CF
KSW-cf_coassembly_k141_3750296_full	KSW-CF
KSW-cf_coassembly_k141_1199855_full	KSW-CF
KSW-cf_coassembly_k141_527226_full	KSW-CF
KSW-cf_coassembly_k141_2818687_full	KSW-CF
KSW-cf_coassembly_k141_670580_full	KSW-CF
KSW-cf_coassembly_k141_125812_full	KSW-CF
KSW-cf_coassembly_k141_2945820_full	KSW-CF
KSW-cf_coassembly_k141_1469602_full	KSW-CF
KSW-cf_coassembly_k141_3486405_full	KSW-CF
KSW-cf_coassembly_k141_1735107_full	KSW-CF
KSW-cf_coassembly_k141_1872905_full	KSW-CF
KSW-cf_coassembly_k141_397434_full	KSW-CF
KSW-cf_coassembly_k141_933823_full	KSW-CF
KSW-cf_coassembly_k141_2680931_full	KSW-CF
KSW-cf_coassembly_k141_3216364_full	KSW-CF
KSW-cf_coassembly_k141_529964_full	KSW-CF
KSW-cf_coassembly_k141_3752805_full	KSW-CF
KSW-cf_coassembly_k141_1203283_full	KSW-CF
KSW-cf_coassembly_k141_3753156_full	KSW-CF
KSW-cf_coassembly_k141_1340470_full	KSW-CF
KSW-cf_coassembly_k141_1204133_full	KSW-CF
KSW-cf_coassembly_k141_2822528_full	KSW-CF
KSW-cf_coassembly_k141_1068315_full	KSW-CF
KSW-cf_coassembly_k141_2145958_full	KSW-CF
KSW-cf_coassembly_k141_1738564_full	KSW-CF
KSW-cf_coassembly_k141_3490834_full	KSW-CF
KSW-cf_coassembly_k141_2547573_full	KSW-CF
KSW-cf_coassembly_k141_1343440_full	KSW-CF
KSW-cf_coassembly_k141_3220151_full	KSW-CF
KSW-cf_coassembly_k141_1070684_full	KSW-CF
KSW-cf_coassembly_k141_2147523_full	KSW-CF
KSW-cf_coassembly_k141_2950932_full	KSW-CF
KSW-cf_coassembly_k141_533619_full	KSW-CF
KSW-cf_coassembly_k141_1071281_full	KSW-CF
KSW-cf_coassembly_k141_3756767_full	KSW-CF
KSW-cf_coassembly_k141_1878575_full	KSW-CF
KSW-cf_coassembly_k141_3625647_full	KSW-CF
KSW-cf_coassembly_k141_2549332_full	KSW-CF
KSW-cf_coassembly_k141_2013894_full	KSW-CF
KSW-cf_coassembly_k141_2014785_full	KSW-CF
KSW-cf_coassembly_k141_2014945_full	KSW-CF
KSW-cf_coassembly_k141_2282111_full	KSW-CF
KSW-cf_coassembly_k141_799877_full	KSW-CF
KSW-cf_coassembly_k141_535816_full	KSW-CF
KSW-cf_coassembly_k141_2953953_full	KSW-CF
KSW-cf_coassembly_k141_2282581_full	KSW-CF
KSW-cf_coassembly_k141_1073682_full	KSW-CF
KSW-cf_coassembly_k141_939896_full	KSW-CF
KSW-cf_coassembly_k141_3088754_full	KSW-CF
KSW-cf_coassembly_k141_134273_full	KSW-CF
KSW-cf_coassembly_k141_3760973_full	KSW-CF
KSW-cf_coassembly_k141_2552846_full	KSW-CF
KSW-cf_coassembly_k141_3761548_full	KSW-CF
KSW-cf_coassembly_k141_2553306_full	KSW-CF
KSW-cf_coassembly_k141_264640_full	KSW-CF
KSW-cf_coassembly_k141_806064_full	KSW-CF
KSW-cf_coassembly_k141_806071_full	KSW-CF
KSW-cf_2nd_assembly_k141_3698909_full	KSW-CF
KSW-cf_2nd_assembly_k141_3699741_full	KSW-CF
KSW-cf_2nd_assembly_k141_2092228_full	KSW-CF
KSW-cf_2nd_assembly_k141_4182868_full	KSW-CF
KSW-cf_2nd_assembly_k141_324448_full	KSW-CF
KSW-cf_2nd_assembly_k141_2736576_full	KSW-CF
KSW-cf_2nd_assembly_k141_3058099_full	KSW-CF
KSW-cf_2nd_assembly_k141_4129_full	KSW-CF
KSW-cf_2nd_assembly_k141_1129702_full	KSW-CF
KSW-cf_2nd_assembly_k141_2256934_full	KSW-CF
KSW-cf_2nd_assembly_k141_1453384_full	KSW-CF
KSW-cf_2nd_assembly_k141_4668807_full	KSW-CF
KSW-cf_2nd_assembly_k141_1293019_full	KSW-CF
KSW-cf_2nd_assembly_k141_2740327_full	KSW-CF
KSW-cf_2nd_assembly_k141_490773_full	KSW-CF
KSW-cf_2nd_assembly_k141_2742403_full	KSW-CF
KSW-cf_2nd_assembly_k141_4029184_full	KSW-CF
KSW-cf_2nd_assembly_k141_2261297_full	KSW-CF
KSW-cf_2nd_assembly_k141_1457575_full	KSW-CF
KSW-cf_2nd_assembly_k141_1137700_full	KSW-CF
KSW-cf_2nd_assembly_k141_4192633_full	KSW-CF
KSW-cf_2nd_assembly_k141_1942253_full	KSW-CF
KSW-cf_2nd_assembly_k141_817497_full	KSW-CF
KSW-cf_2nd_assembly_k141_13657_full	KSW-CF
KSW-cf_2nd_assembly_k141_496468_full	KSW-CF
KSW-cf_2nd_assembly_k141_1623644_full	KSW-CF
KSW-cf_2nd_assembly_k141_2589223_full	KSW-CF
KSW-cf_2nd_assembly_k141_3232662_full	KSW-CF
KSW-cf_2nd_assembly_k141_1305545_full	KSW-CF
KSW-cf_2nd_assembly_k141_3718314_full	KSW-CF
KSW-cf_2nd_assembly_k141_2433279_full	KSW-CF
KSW-cf_2nd_assembly_k141_3239480_full	KSW-CF
KSW-cf_2nd_assembly_k141_4518257_full	KSW-CF
KSW-cf_2nd_assembly_k141_662583_full	KSW-CF
KSW-cf_2nd_assembly_k141_1794718_full	KSW-CF
KSW-cf_2nd_assembly_k141_662782_full	KSW-CF
KSW-cf_2nd_assembly_k141_3725254_full	KSW-CF
KSW-cf_2nd_assembly_k141_189765_full	KSW-CF
KSW-cf_2nd_assembly_k141_833271_full	KSW-CF
KSW-cf_2nd_assembly_k141_192388_full	KSW-CF
KSW-cf_2nd_assembly_k141_31833_full	KSW-CF
KSW-cf_2nd_assembly_k141_33221_full	KSW-CF
KSW-cf_2nd_assembly_k141_2444883_full	KSW-CF
KSW-cf_2nd_assembly_k141_4529195_full	KSW-CF
KSW-cf_2nd_assembly_k141_4058022_full	KSW-CF
KSW-cf_2nd_assembly_k141_39447_full	KSW-CF
KSW-cf_2nd_assembly_k141_847361_full	KSW-CF
KSW-cf_2nd_assembly_k141_2133494_full	KSW-CF
KSW-cf_2nd_assembly_k141_2618452_full	KSW-CF
KSW-cf_2nd_assembly_k141_4709566_full	KSW-CF
KSW-cf_2nd_assembly_k141_1654908_full	KSW-CF
KSW-cf_2nd_assembly_k141_3907189_full	KSW-CF
KSW-cf_2nd_assembly_k141_1496245_full	KSW-CF
KSW-cf_2nd_assembly_k141_4070270_full	KSW-CF
KSW-cf_2nd_assembly_k141_3106331_full	KSW-CF
KSW-cf_2nd_assembly_k141_3424085_full	KSW-CF
KSW-cf_2nd_assembly_k141_376096_full	KSW-CF
KSW-cf_2nd_assembly_k141_537542_full	KSW-CF
KSW-cf_2nd_assembly_k141_1020290_full	KSW-CF
KSW-cf_2nd_assembly_k141_2145444_full	KSW-CF
KSW-cf_2nd_assembly_k141_2308271_full	KSW-CF
KSW-cf_2nd_assembly_k141_4237487_full	KSW-CF
KSW-cf_2nd_assembly_k141_222678_full	KSW-CF
KSW-cf_2nd_assembly_k141_4554503_full	KSW-CF
KSW-cf_2nd_assembly_k141_1834170_full	KSW-CF
KSW-cf_2nd_assembly_k141_3120432_full	KSW-CF
KSW-cf_2nd_assembly_k141_2959451_full	KSW-CF
KSW-cf_2nd_assembly_k141_3122239_full	KSW-CF
KSW-cf_2nd_assembly_k141_872716_full	KSW-CF
KSW-cf_2nd_assembly_k141_2324378_full	KSW-CF
KSW-cf_2nd_assembly_k141_3130004_full	KSW-CF
KSW-cf_2nd_assembly_k141_3773221_full	KSW-CF
KSW-cf_2nd_assembly_k141_1527226_full	KSW-CF
KSW-cf_2nd_assembly_k141_1365574_full	KSW-CF
KSW-cf_2nd_assembly_k141_3452896_full	KSW-CF
KSW-cf_2nd_assembly_k141_1531792_full	KSW-CF
KSW-cf_2nd_assembly_k141_2174111_full	KSW-CF
KSW-cf_2nd_assembly_k141_2495477_full	KSW-CF
KSW-cf_2nd_assembly_k141_4267963_full	KSW-CF
KSW-cf_2nd_assembly_k141_3461338_full	KSW-CF
KSW-cf_2nd_assembly_k141_2340711_full	KSW-CF
KSW-cf_2nd_assembly_k141_730726_full	KSW-CF
KSW-cf_2nd_assembly_k141_3631042_full	KSW-CF
KSW-cf_2nd_assembly_k141_3149050_full	KSW-CF
KSW-cf_2nd_assembly_k141_3955702_full	KSW-CF
KSW-cf_2nd_assembly_k141_417835_full	KSW-CF
KSW-cf_2nd_assembly_k141_1545057_full	KSW-CF
KSW-cf_2nd_assembly_k141_3959478_full	KSW-CF
KSW-cf_2nd_assembly_k141_421204_full	KSW-CF
KSW-cf_2nd_assembly_k141_1869487_full	KSW-CF
KSW-cf_2nd_assembly_k141_3959777_full	KSW-CF
KSW-cf_2nd_assembly_k141_3960674_full	KSW-CF
KSW-cf_2nd_assembly_k141_2351076_full	KSW-CF
KSW-cf_2nd_assembly_k141_1066931_full	KSW-CF
KSW-cf_2nd_assembly_k141_2031683_full	KSW-CF
KSW-cf_2nd_assembly_k141_3474908_full	KSW-CF
KSW-cf_2nd_assembly_k141_1390522_full	KSW-CF
KSW-cf_2nd_assembly_k141_2515352_full	KSW-CF
KSW-cf_2nd_assembly_k141_2195307_full	KSW-CF
KSW-cf_2nd_assembly_k141_426971_full	KSW-CF
KSW-cf_2nd_assembly_k141_1555367_full	KSW-CF
KSW-cf_2nd_assembly_k141_3480446_full	KSW-CF
KSW-cf_2nd_assembly_k141_3806616_full	KSW-CF
KSW-cf_2nd_assembly_k141_3807520_full	KSW-CF
KSW-cf_2nd_assembly_k141_3970489_full	KSW-CF
KSW-cf_2nd_assembly_k141_1722444_full	KSW-CF
KSW-cf_2nd_assembly_k141_3484567_full	KSW-CF
KSW-cf_2nd_assembly_k141_600237_full	KSW-CF
KSW-cf_2nd_assembly_k141_2206485_full	KSW-CF
KSW-cf_2nd_assembly_k141_441610_full	KSW-CF
KSW-cf_2nd_assembly_k141_4610439_full	KSW-CF
KSW-cf_2nd_assembly_k141_3492925_full	KSW-CF
KSW-cf_2nd_assembly_k141_2372425_full	KSW-CF
KSW-cf_2nd_assembly_k141_924723_full	KSW-CF
KSW-cf_2nd_assembly_k141_1573891_full	KSW-CF
KSW-cf_2nd_assembly_k141_1091402_full	KSW-CF
KSW-cf_2nd_assembly_k141_1092754_full	KSW-CF
KSW-cf_2nd_assembly_k141_931278_full	KSW-CF
KSW-cf_2nd_assembly_k141_2541200_full	KSW-CF
KSW-cf_2nd_assembly_k141_452497_full	KSW-CF
KSW-cf_2nd_assembly_k141_4796536_full	KSW-CF
KSW-cf_2nd_assembly_k141_2543307_full	KSW-CF
KSW-cf_2nd_assembly_k141_4622718_full	KSW-CF
KSW-cf_2nd_assembly_k141_1423572_full	KSW-CF
KSW-cf_2nd_assembly_k141_3191602_full	KSW-CF
KSW-cf_2nd_assembly_k141_1104477_full	KSW-CF
KSW-cf_2nd_assembly_k141_3194854_full	KSW-CF
KSW-cf_2nd_assembly_k141_1269021_full	KSW-CF
KSW-cf_2nd_assembly_k141_1914417_full	KSW-CF
KSW-cf_2nd_assembly_k141_2397226_full	KSW-CF
KSW-cf_2nd_assembly_k141_4165441_full	KSW-CF
KSW-cf_2nd_assembly_k141_3209086_full	KSW-CF
KSW-cf_2nd_assembly_k141_4495031_full	KSW-CF
KSW-cf_2nd_assembly_k141_2245318_full	KSW-CF
KSW-cf_2nd_assembly_k141_1605736_full	KSW-CF
KSW-cf_2nd_assembly_k141_1443590_full	KSW-CF
KSW-cf_2nd_assembly_k141_4497354_full	KSW-CF
KSW-cf_2nd_assembly_k141_3695534_full	KSW-CF
KSW-cf_2nd_assembly_k141_959872_full	KSW-CF
KSW-cf_coassembly_k141_1216892_full	KSW-CF
KSW-cf_coassembly_k141_839660_full	KSW-CF
KSW-cf_coassembly_k141_4029517_full	KSW-CF
KSW-cf_2nd_assembly_k141_4021399_full	KSW-CF
KSW-cf_coassembly_k141_2022252_0_partial	KSW-CF
KSW-cf_coassembly_k141_11080_0_partial	KSW-CF
KSW-cf_coassembly_k141_1761433_0_partial	KSW-CF
KSW-cf_coassembly_k141_288687_0_partial	KSW-CF
KSW-cf_coassembly_k141_3938112_0_partial	KSW-CF
KSW-cf_coassembly_k141_994096_0_partial	KSW-CF
KSW-cf_coassembly_k141_468583_0_partial	KSW-CF
KSW-cf_coassembly_k141_1294655_0_partial	KSW-CF
KSW-cf_coassembly_k141_3583159_0_partial	KSW-CF
KSW-cf_coassembly_k141_2144574_0_partial	KSW-CF
KSW-cf_2nd_assembly_k141_4425246_0_partial	KSW-CF
KSW-cf_coassembly_k141_808735_lt2gene	KSW-CF
KSW-cf_coassembly_k141_3633873_lt2gene	KSW-CF
KSW-cf_coassembly_k141_2020580_lt2gene	KSW-CF
KSW-cf_coassembly_k141_277053_lt2gene	KSW-CF
KSW-cf_coassembly_k141_2697241_lt2gene	KSW-CF
KSW-cf_coassembly_k141_820451_lt2gene	KSW-CF
KSW-cf_coassembly_k141_1493106_lt2gene	KSW-CF
KSW-cf_coassembly_k141_15389_lt2gene	KSW-CF
KSW-cf_coassembly_k141_2974373_lt2gene	KSW-CF
KSW-cf_coassembly_k141_3781901_lt2gene	KSW-CF
KSW-cf_coassembly_k141_1495243_lt2gene	KSW-CF
KSW-cf_coassembly_k141_3785005_lt2gene	KSW-CF
KSW-cf_coassembly_k141_559679_lt2gene	KSW-CF
KSW-cf_coassembly_k141_2038497_lt2gene	KSW-CF
KSW-cf_coassembly_k141_2172470_lt2gene	KSW-CF
KSW-cf_coassembly_k141_2576172_lt2gene	KSW-CF
